net,length_um
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[0\],94.475
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[4\],94.1
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.act_val\[0\],93.64
clknet_leaf_26_clk,93.54
clknet_leaf_36_clk,93.22
_2681_,92.08
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[4\],92.06
_0853_,92.035
clknet_leaf_103_clk,91.9
_2364_,90.76
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.move_reg\[12\],90.76
clknet_leaf_42_clk,90.72
_2342_,90.42
clknet_leaf_3_clk,90.3
clknet_leaf_81_clk,90.14
net469,89.92
clknet_leaf_20_clk,89.9
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.move_reg\[10\],89.36
net51,89.28
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[8\],88.89
clknet_leaf_86_clk,88.88
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[6\],88.5
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[9\],88.2
u_pe_array.act_from_up\[12\]\[3\],88.18
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[1\],88.02
_3506_,87.58
clknet_leaf_68_clk,87.515
u_pe_array.act_from_up\[6\]\[9\],87.06
clknet_leaf_79_clk,87.04
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[4\],86.94
_2676_,86.92
_3238_,86.86
u_pe_array.u_fifo2.rd_ptr\[0\],86.86
_2350_,86.62
clknet_leaf_99_clk,86.14
clknet_leaf_88_clk,85.62
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[3\],85.56
clknet_leaf_22_clk,85.54
_2149_,85.42
u_pe_array.u_fifo2.wr_ptr\[1\],85.06
net114,84.24
clknet_leaf_56_clk,84.06
_0964_,83.76
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[2\],83.65
_2153_,83.6
_2649_,83.6
_1465_,83.26
_2508_,83.22
_2008_,83.18
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[7\],82.94
net419,82.36
clknet_leaf_97_clk,81.98
clknet_leaf_7_clk,81.96
u_pe_array.u_fifo2.rd_ptr\[3\],81.61
net26,81.52
u_pe_array.u_fifo2.rd_ptr\[1\],81.44
clknet_leaf_92_clk,80.4
clknet_leaf_64_clk,80.38
_2678_,80.36
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[2\],80.04
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[4\],79.86
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[3\],79.72
clknet_leaf_50_clk,79.66
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[12\],79.42
clknet_leaf_74_clk,79.4
_2680_,79.18
_1464_,79.12
_2002_,78.66
clknet_leaf_4_clk,78.54
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.psum_out\[7\],78.465
_2013_,78.3
_1741_,77.7
clknet_leaf_85_clk,77.54
clknet_leaf_6_clk,77.2
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[0\],76.38
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[5\],76.24
clknet_leaf_47_clk,76.08
_0965_,76.06
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[3\],75.76
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.psum_out\[6\],75.74
net11,75.56
clknet_leaf_100_clk,75.52
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[7\],74.955
u_pe_array.u_fifo2.rd_ptr\[2\],74.78
clknet_leaf_1_clk,74.78
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[10\],74.71
_3237_,74.64
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[1\],74.56
clknet_leaf_82_clk,74.42
clknet_leaf_94_clk,73.96
net496,73.7
clknet_leaf_89_clk,73.6
_3521_,73.58
_2324_,73.3
_3392_,73.22
clknet_leaf_70_clk,73.22
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[1\],73.02
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[7\],72.84
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[6\],72.3
net119,72.18
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[4\],72.06
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[4\],71.52
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[1\],71.11
clknet_leaf_45_clk,71.1
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.move_reg\[11\],71
u_fsm.state\[1\],70.835
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.psum_out\[7\],70.64
clknet_leaf_91_clk,70.255
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.act_val\[4\],70.16
_2368_,70.14
_0957_,70.1
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.move_reg\[6\],70.04
clknet_leaf_59_clk,70.02
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[11\],70
clknet_leaf_51_clk,69.98
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.psum_out\[10\],69.8
_2139_,69.78
net36,69.6
